Year,Title,Gross
1984,Beverly Hills Cop,"$234,760,478"
1984,Ghostbusters,"$229,376,332"
1984,Indiana Jones and the Temple of Doom,"$179,876,727"
1984,Gremlins,"$148,171,538"
1984,The Karate Kid,"$90,817,155"
1984,Police Academy,"$81,198,894"
1984,Footloose,"$80,038,626"
1984,Romancing the Stone,"$76,572,547"
1984,Star Trek III: The Search for Spock,"$76,471,046"
1984,Splash,"$69,821,334"
1984,Purple Rain,"$68,393,249"
1984,Amadeus,"$51,565,096"
1984,Tightrope,"$48,143,579"
1984,The Natural,"$47,951,979"
1984,"Greystoke: The Legend of Tarzan, Lord of the Apes","$45,858,563"
1984,Revenge of the Nerds,"$40,874,452"
1984,2010,"$40,400,657"
1984,Breakin',"$38,682,707"
1984,Bachelor Party,"$38,435,947"
1984,Red Dawn,"$38,376,497"
1984,The Terminator,"$38,374,581"
1984,City Heat,"$38,348,988"
1984,All of Me,"$36,403,064"
1984,Places in the Heart,"$34,901,614"
1984,The Killing Fields,"$34,700,291"
1984,Friday the 13th: The Final Chapter,"$32,980,880"
1984,Conan the Destroyer,"$31,042,035"
1984,Dune,"$30,928,421"
1984,The Gods Must Be Crazy,"$30,031,783"
1984,Starman,"$28,744,356"
1984,The Last Starfighter,"$28,733,290"
1984,Cannonball Run II,"$28,078,073"
1984,Teachers,"$27,774,237"
1984,A Passage to India,"$27,187,653"
1984,Pinocchio 1984 Re-release,"$26,414,038"
1984,Protocol,"$26,186,631"
1984,Micki + Maude,"$26,080,861"
1984,The Cotton Club,"$25,928,721"
1984,The Muppets Take Manhattan,"$25,534,703"
1984,A Nightmare on Elm Street,"$25,507,443"
1984,The Woman in Red,"$25,349,388"
1984,Moscow on the Hudson,"$25,068,724"
1984,The Flamingo Kid,"$23,859,382"
1984,Sixteen Candles,"$23,686,027"
1984,The Jungle Book 1984 Re-release,"$23,456,945"
1984,Missing in Action,"$22,812,411"
1984,A Soldier's Story,"$21,821,347"
1984,Against All Odds,"$21,689,062"
1984,"Oh, God! You Devil","$21,538,850"
1984,Rhinestone,"$21,435,321"
1984,Weekend Pass,"$21,058,033"
1984,Top Secret!,"$20,458,340"
1984,Hot Dog... The Movie,"$20,307,325"
1984,The NeverEnding Story,"$20,162,419"
1984,Unfaithfully Yours,"$19,928,200"
1984,Best Defense,"$19,265,302"
1984,Blame It on Rio,"$18,644,570"
1984,Lassiter,"$17,513,452"
1984,Angel,"$17,488,564"
1984,Johnny Dangerously,"$17,124,395"
1984,Firestarter,"$17,080,167"
1984,Beat Street,"$16,596,465"
1984,Breakin' 2: Electric Boogaloo,"$15,101,131"
1984,Children of the Corn,"$14,568,989"
1984,Night of the Comet,"$14,418,922"
1984,Supergirl,"$14,296,438"
1984,The Ice Pirates,"$14,255,801"
1984,The Evil That Men Do,"$13,102,025"
1984,Irreconcilable Differences,"$12,414,210"
1984,Dreamscape,"$12,145,169"
1984,Up the Creek,"$11,708,269"
1984,The River,"$11,489,982"
1984,Tank,"$11,302,884"
